"variable","race","year","value","nutrientGroup"
"dietary fiber(g)","Non-Hispanic Asian","2011-2012",14.6,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic Asian","2011-2012",18.9,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic Asian","2011-2012",12.4,"Lipids|Fat"
"protein(g)","Non-Hispanic Asian","2011-2012",63.1,"Proteins"
"saturated fat(g)","Non-Hispanic Asian","2011-2012",21.4,"Lipids|Fat"
"total fat(g)","Non-Hispanic Asian","2011-2012",57.9,"Lipids|Fat"
"total sugars(g)","Non-Hispanic Asian","2011-2012",105,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic Black","2011-2012",266,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic Black","2011-2012",12.9,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic Black","2011-2012",27.2,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic Black","2011-2012",17.9,"Lipids|Fat"
"protein(g)","Non-Hispanic Black","2011-2012",68.6,"Proteins"
"saturated fat(g)","Non-Hispanic Black","2011-2012",24.9,"Lipids|Fat"
"total fat(g)","Non-Hispanic Black","2011-2012",77.3,"Lipids|Fat"
"total sugars(g)","Non-Hispanic Black","2011-2012",123,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic White","2011-2012",275,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic White","2011-2012",14.2,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic White","2011-2012",25.7,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic White","2011-2012",16.4,"Lipids|Fat"
"protein(g)","Non-Hispanic White","2011-2012",66.9,"Proteins"
"saturated fat(g)","Non-Hispanic White","2011-2012",26.4,"Lipids|Fat"
"total fat(g)","Non-Hispanic White","2011-2012",74.4,"Lipids|Fat"
"total sugars(g)","Non-Hispanic White","2011-2012",137,"Carbohydrates"
"carbohydrate(g)","All Hispanic","2013-2014",252,"Carbohydrates"
"dietary fiber(g)","All Hispanic","2013-2014",15.7,"Carbohydrates"
"monosaturated fat(g)","All Hispanic","2013-2014",23.3,"Lipids|Fat"
"polysaturated fat(g)","All Hispanic","2013-2014",15.4,"Lipids|Fat"
"protein(g)","All Hispanic","2013-2014",69,"Proteins"
"saturated fat(g)","All Hispanic","2013-2014",24.7,"Lipids|Fat"
"total fat(g)","All Hispanic","2013-2014",70.4,"Lipids|Fat"
"total sugars(g)","All Hispanic","2013-2014",114,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic Asian","2013-2014",258,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic Asian","2013-2014",15.3,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic Asian","2013-2014",21.3,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic Asian","2013-2014",14,"Lipids|Fat"
"protein(g)","Non-Hispanic Asian","2013-2014",72,"Proteins"
"saturated fat(g)","Non-Hispanic Asian","2013-2014",21.8,"Lipids|Fat"
"total fat(g)","Non-Hispanic Asian","2013-2014",63.6,"Lipids|Fat"
"total sugars(g)","Non-Hispanic Asian","2013-2014",99,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic Black","2013-2014",249,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic Black","2013-2014",13.5,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic Black","2013-2014",22.9,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic Black","2013-2014",15.8,"Lipids|Fat"
"protein(g)","Non-Hispanic Black","2013-2014",63.6,"Proteins"
"saturated fat(g)","Non-Hispanic Black","2013-2014",22.6,"Lipids|Fat"
"total fat(g)","Non-Hispanic Black","2013-2014",67.6,"Lipids|Fat"
"total sugars(g)","Non-Hispanic Black","2013-2014",113,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic White","2013-2014",258,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic White","2013-2014",13.8,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic White","2013-2014",24.5,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic White","2013-2014",15.3,"Lipids|Fat"
"protein(g)","Non-Hispanic White","2013-2014",67.4,"Proteins"
"saturated fat(g)","Non-Hispanic White","2013-2014",26.1,"Lipids|Fat"
"total fat(g)","Non-Hispanic White","2013-2014",74.8,"Lipids|Fat"
"total sugars(g)","Non-Hispanic White","2013-2014",120,"Carbohydrates"
"carbohydrate(g)","All Hispanic","2015-2016",229,"Carbohydrates"
"dietary fiber(g)","All Hispanic","2015-2016",14.4,"Carbohydrates"
"monosaturated fat(g)","All Hispanic","2015-2016",23.8,"Lipids|Fat"
"polysaturated fat(g)","All Hispanic","2015-2016",15.4,"Lipids|Fat"
"protein(g)","All Hispanic","2015-2016",67,"Proteins"
"saturated fat(g)","All Hispanic","2015-2016",24.4,"Lipids|Fat"
"total fat(g)","All Hispanic","2015-2016",70,"Lipids|Fat"
"total sugars(g)","All Hispanic","2015-2016",99,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic Asian","2015-2016",255,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic Asian","2015-2016",15.2,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic Asian","2015-2016",24.3,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic Asian","2015-2016",17,"Lipids|Fat"
"protein(g)","Non-Hispanic Asian","2015-2016",74.2,"Proteins"
