"State","Median.Household.Income","Child.Adolescent.Obesity.Rate","Region","Race","Race.Distribution"
"New Jersey",66864.73,13.75,"Northeast","Hispanic",18.7
"New Jersey",66864.73,13.75,"Northeast","White",58
"New Mexico",44293.91,13.32,"West","Asian",1.1
"New Mexico",44293.91,13.32,"West","White",39.5
"New Mexico",44293.91,13.32,"West","Black",2
"New Mexico",44293.91,13.32,"West","Hispanic",47.2
"New York",54235.64,12.7,"Northeast","Black",14.1
"New York",54235.64,12.7,"Northeast","Asian",7.7
"New York",54235.64,12.7,"Northeast","White",57.3
"New York",54235.64,12.7,"Northeast","Hispanic",18.2
"North Carolina",46373.82,14.03,"South","Black",21
"North Carolina",46373.82,14.03,"South","Hispanic",8.6
"North Carolina",46373.82,14.03,"South","Asian",2.3
"North Carolina",46373.82,14.03,"South","White",64.8
"North Dakota",54265.64,13.02,"Midwest","Black",1.7
"North Dakota",54265.64,13.02,"Midwest","Asian",1.11
"North Dakota",54265.64,13.02,"Midwest","White",87.5
"North Dakota",54265.64,13.02,"Midwest","Hispanic",2.3
"Ohio",50317.27,13.05,"Midwest","Hispanic",3.3
"Ohio",50317.27,13.05,"Midwest","Asian",2
"Ohio",50317.27,13.05,"Midwest","Black",11.9
"Ohio",50317.27,13.05,"Midwest","White",80.8
"Oklahoma",47030.09,15.05,"South","Black",7
"Oklahoma",47030.09,15.05,"South","Hispanic",9.4
"Oklahoma",47030.09,15.05,"South","White",68.1
"Oklahoma",47030.09,15.05,"South","Asian",2
"Oregon",55375.73,15.63,"West","Hispanic",12.1
"Oregon",55375.73,15.63,"West","White",77.8
"Oregon",55375.73,15.63,"West","Asian",3.9
"Oregon",55375.73,15.63,"West","Black",2
"Pennsylvania",54606.18,12.94,"Northeast","Black",10
"Pennsylvania",54606.18,12.94,"Northeast","Hispanic",6.2
"Pennsylvania",54606.18,12.94,"Northeast","White",79
"Pennsylvania",54606.18,12.94,"Northeast","Asian",2.8
"Rhode Island",56389.73,13.47,"Northeast","Asian",3.1
"Rhode Island",56389.73,13.47,"Northeast","Black",5.1
"Rhode Island",56389.73,13.47,"Northeast","Hispanic",13.6
"Rhode Island",56389.73,13.47,"Northeast","White",75.1
"South Carolina",46249.09,14.24,"South","Asian",1.2
"South Carolina",46249.09,14.24,"South","Black",27.4
"South Carolina",46249.09,14.24,"South","Hispanic",4.9
"South Carolina",46249.09,14.24,"South","White",64.2
"South Dakota",51378.09,13.08,"Midwest","White",84.1
"South Dakota",51378.09,13.08,"Midwest","Asian",1.1
"South Dakota",51378.09,13.08,"Midwest","Black",1.4
"South Dakota",51378.09,13.08,"Midwest","Hispanic",3
"Tennessee",45450.91,16.33,"South","Asian",1.4
"Tennessee",45450.91,16.33,"South","Black",16.4
"Tennessee",45450.91,16.33,"South","Hispanic",4.8
"Tennessee",45450.91,16.33,"South","White",75.3
"Texas",51438.09,15.61,"South","Asian",4.2
"Texas",51438.09,15.61,"South","Black",11.2
"Texas",51438.09,15.61,"South","Hispanic",38.3
"Texas",51438.09,15.61,"South","White",44.3
"Utah",62259,8.57,"West","Asian",2
"Utah",62259,8.57,"West","Black",1
"Utah",62259,8.57,"West","Hispanic",13.1
"Utah",62259,8.57,"West","White",79.9
"Vermont",56648.64,12.45,"Northeast","Asian",1.33
"Vermont",56648.64,12.45,"Northeast","Black",1
"Vermont",56648.64,12.45,"Northeast","Hispanic",1.3
"Vermont",56648.64,12.45,"Northeast","White",94.1
"Virginia",63633,15.84,"South","Asian",5.9
"Virginia",63633,15.84,"South","Black",19
"Virginia",63633,15.84,"South","Hispanic",8.3
"Virginia",63633,15.84,"South","White",64.1
"Washington",62807.45,14.39,"West","Asian",7.6
"Washington",62807.45,14.39,"West","Black",3
"Washington",62807.45,14.39,"West","Hispanic",11.6
"Washington",62807.45,14.39,"West","White",71.6
"West Virginia",42092.55,15.66,"South","Asian",1
"West Virginia",42092.55,15.66,"South","Black",3.1
"West Virginia",42092.55,15.66,"South","Hispanic",1
"West Virginia",42092.55,15.66,"South","White",93.3
"Wisconsin",54850.73,12.53,"Midwest","Asian",2.4
