Age,Year,Gender,에너지(Kcal),단백질(g),동물성단백질(g),지방(g),탄수화물(g),칼슘(mg),인(mg),철(mg),나트륨(mg),칼륨(mg),티아민(mg),리보플라빈(mg),비타민C(mg),동물성단백질비(%),지방급원에너지비(%)
30-49,2012,All,2126.6,79.14,39.47,49.08,322.32,537.47,1247.6,15.83,5368.78,3269.89,1.469,1.398,120.71,44.85,20.61
50-64,2012,All,1963.11,69.75,29.08,35.27,325.67,515.76,1194.21,16.91,4777.2,3193.52,1.301,1.219,120.86,36.64,16.1
≥ 65,2012,All,1631.62,52.86,17.03,23.38,297.83,412.5,958.49,13.17,3834.06,2508.65,1.053,0.879,86.57,26.62,12.23
전체,2013,All,2074.02,73.73,37.63,47.66,313.2,506.85,1114.22,17.8,4027.48,2960.95,2.078,1.407,92.86,44.48,20.38
1-2,2013,All,1125.65,42.56,27.24,30.88,170.14,527.36,744.7,8.16,1277.91,1514.58,1.009,0.935,54.63,58.92,24.29
3-5,2013,All,1454.46,47.89,27.18,41.16,221.79,499.74,853.19,9.8,1932.52,1827.03,1.251,1.071,64.57,53.44,24.05
6-11,2013,All,1893.16,65.74,36.62,50.91,289.38,529.64,1020.73,13.16,2801.33,2342.94,1.689,1.354,72.75,51.25,23.3
12-18,2013,All,2219.61,81.51,46.22,60.17,331.61,480,1121.79,16.61,3662.65,2655.48,2.036,1.468,72.73,50.93,24.07
19-29,2013,All,2311.18,85.79,49.93,64.78,312.61,507.31,1181.82,17.84,4405.33,2933.02,2.17,1.619,78.65,51.71,25.06
30-49,2013,All,2235.33,80.52,42.6,52.62,325.09,540.98,1213.54,19.3,4705.7,3243.32,2.274,1.556,100.7,46.84,21.51
50-64,2013,All,2033.41,70.77,30.74,37.7,325.66,521.11,1140.12,20,4161.53,3357.55,2.233,1.365,120.15,37.64,16.76
≥ 65,2013,All,1687.9,54.8,19.3,23.74,301.21,398.95,878.34,16.45,3277.1,2572.74,1.747,0.948,80.04,28.78,12.28
전체,2014,All,2063.4,71.96,36.01,47.86,310.06,492.07,1089.38,17.27,3889.93,2983.35,2.01,1.384,99.55,44.39,20.86
1-2,2014,All,1032.24,34.84,19.79,25.93,163.7,375.83,614.08,7.08,1111.74,1503.33,0.966,0.789,68.24,54.02,22.76
3-5,2014,All,1383.72,45.39,24.5,35.33,219.57,413,762.65,9.15,1775.1,1900.49,1.239,1.005,85.32,51.91,22.97
6-11,2014,All,1917.06,67.09,37.65,52.57,290.18,505.11,1011.83,13.32,2916.54,2383.53,1.811,1.344,76.83,52.75,23.96
12-18,2014,All,2298.52,83.19,47.59,63.12,335.23,508.55,1156.36,17.54,3766.54,2707.16,2.11,1.457,72.6,52.13,24.53
19-29,2014,All,2234.42,79.85,44.5,60.62,306.43,474.2,1120.05,15.73,4226.43,2776.96,2.091,1.483,71.08,51.12,25.21
30-49,2014,All,2206.57,78.12,40.55,52.75,317.77,519.47,1172.68,17.74,4448.43,3273.25,2.176,1.54,106.31,46.9,22.12
50-64,2014,All,2090.35,72.17,32.06,41.82,330.02,529.43,1153.95,21.28,4161.36,3427.85,2.117,1.396,131.92,38.52,17.91
≥ 65,2014,All,1654.29,52.33,17.31,24.04,293.81,398.01,861.84,15.99,2987.11,2643.56,1.652,0.981,97.59,28,12.93
전체,2015,All,2085.63,73.17,37.18,48.9,312.08,497.52,1092.71,16.91,3889.63,2973.48,2.015,1.405,97.16,44.53,20.87
1-2,2015,All,1037.78,34.71,19.94,26.18,164.17,411.95,640.77,7.02,1186.17,1441.53,0.918,0.864,59.99,55.59,23.05
3-5,2015,All,1383.17,44.71,23.7,34.17,221.63,411.17,757.22,9.19,1836.29,1850.47,1.23,1.028,76.68,50.58,22.14
6-11,2015,All,1930.29,67.73,37.9,53.05,291.26,473.86,1012.52,13.16,2871.64,2428.03,1.73,1.365,72.02,52.39,24.13
12-18,2015,All,2213.41,79.53,45.21,62.52,324.34,490.7,1103.4,15.92,3616.1,2641.52,2.024,1.469,70.51,51.59,24.87
19-29,2015,All,2365.22,86.1,50.52,66.3,320.71,506.14,1178.78,17.48,4168.89,2966.31,2.227,1.592,82.43,52.07,25.4
30-49,2015,All,2241.97,79.52,41.59,54.13,321.87,530.83,1176.58,17.93,4518.61,3240.12,2.19,1.555,99.96,47.07,22.28
50-64,2015,All,2081.88,72.41,32.47,41.12,327.18,527.76,1142.08,19.07,4066.07,3333.57,2.08,1.379,123.47,38.37,17.62
≥ 65,2015,All,1666.96,53.75,18.89,25.22,293.79,400.45,867.15,15.33,3126.89,2609.36,1.661,0.996,99.85,29.57,13.31
전체,2016,All,2007.77,71.78,37.98,49.42,292.89,470.05,1051.26,16.3,3668.94,2853.75,1.941,1.376,96.72,46.7,22
1-2,2016,All,1093.59,36.84,22.13,29.19,168.78,409.35,651.24,7.55,1203.66,1531.36,0.95,0.84,53.42,57.55,24.16
3-5,2016,All,1366.01,44.9,24.19,35.56,214.42,412.63,754.46,9.12,1810.69,1853.98,1.19,1,73.6,51.73,22.84
6-11,2016,All,1849.3,62.75,34.54,49.27,284.03,465.14,958.8,13.1,2667.6,2288.17,1.63,1.29,76.33,52.33,23.54
12-18,2016,All,2143.47,79.09,46.25,63.6,305.85,466.24,1072.3,15.35,3455.96,2551.87,2.03,1.45,70.78,53.42,25.95
19-29,2016,All,2217.19,84.57,51.99,68.5,287.9,455.18,1117.92,16.13,3978.91,2669.42,2.04,1.54,65.41,55.09,27.74
30-49,2016,All,2178.4,78.74,43.1,54.73,304.16,496.27,1143.14,17.64,4247.05,3082.01,2.13,1.51,97.51,49.31,23.22
50-64,2016,All,2001.77,70.85,33.85,41.64,303.92,510.22,1087.93,18.05,3768.23,3268.74,2.02,1.39,132.76,42.24,19.14
≥ 65,2016,All,1606.95,51.7,18.43,25.69,280.51,379.91,831.62,14.77,2991.58,2593.37,1.6,1,102.93,29.96,14.07
전체,2017,All,1921.34,72.05,38.17,47.86,294.84,509.09,1072.31,12.77,3477.19,2729.98,1.396,1.54,62.7,47.38,21.45
1-2,2017,All,1070.02,36.87,21.9,28.26,175.28,446.68,655.84,6.05,1084.6,1434.4,0.715,0.942,44.91,57.25,22.84
3-5,2017,All,1391.87,49.75,28.63,39.35,218.57,463.88,806.78,8.09,1719.33,1767.99,1.01,1.268,63.68,54.46,23.81
6-11,2017,All,1782.22,64.78,36.33,50.66,279.53,503.24,978.87,10.99,2540.28,2193.41,1.265,1.484,61.98,54.05,24.24
12-18,2017,All,2075.25,76.51,43.26,60.14,317.56,524.91,1104.13,11.94,3389.05,2411.88,1.433,1.636,57.29,52.9,24.93
19-29,2017,All,2078.18,81.52,50.55,63.01,281.3,495.07,1109.77,12.56,3708.03,2526.16,1.543,1.714,54.55,55.09,25.92
30-49,2017,All,2111.94,81.42,45.55,54.54,303.42,530.92,1170.4,14.18,4061.61,2951.58,1.503,1.699,67.67,50.77,23.2
50-64,2017,All,1881.27,69.38,31.67,39.26,311,539.39,1099.02,13.55,3559.4,3105.45,1.412,1.509,68.67,41.18,18.25
≥ 65,2017,All,1562.82,54.06,20.75,27.08,285.64,434.12,885.87,11.38,2809.88,2547.54,1.16,1.143,55.15,33.55,14.42
전체,2018,All,1968.44,71.11,37.89,46.93,289.65,514.07,1046.07,11.59,3274.12,2626.32,1.33,1.6,60.41,48.22,21.54
1-2,2018,All,1140.65,39.59,22.87,28.97,179.23,452.72,682.81,6.33,1185.21,1509.7,0.81,1.03,46.39,56.04,22.77
3-5,2018,All,1321.24,45.73,26.75,34.48,205.28,457.61,750.21,6.87,1535.36,1670.96,0.91,1.2,54.66,56.64,23.29
6-11,2018,All,1712.18,59.82,34.62,46.84,259.05,491.4,904.59,8.48,2344.27,1946.98,1.1,1.44,55.22,54.72,24.43
12-18,2018,All,2231.58,81.44,47.37,64.31,323.95,564.38,1136.04,11.38,3296.82,2460.82,1.46,1.89,64.66,54.28,25.35
19-29,2018,All,2135.53,80.32,48.33,58.62,288.76,502.66,1074.58,11.61,3442.91,2456.53,1.39,1.74,52.63,55.11,25.33
30-49,2018,All,2123.59,78.9,44.64,53.66,294.2,530.26,1129.21,12.38,3700.34,2814.8,1.43,1.79,67.58,51.88,23.35
50-64,2018,All,1974.69,69.59,32.81,40.46,303.59,541.22,1077.7,12.63,3463.66,2965.39,1.36,1.58,63.44,43.16,18.98
≥ 65,2018,All,1630.42,54.64,21.09,26.62,280.84,448.03,889.88,10.9,2763.16,2481.34,1.15,1.16,50.46,33.6,14.47
전체,2008,Male,2123.86,76.58,36.79,46.23,324.31,527.48,1247.84,14.48,5307.57,3088.07,1.421,1.271,100.18,42.98,19.39
1-2,2008,Male,987.4,34.49,18.41,24.34,158.58,384.18,631.73,5.85,1349.14,1339.61,0.637,0.77,53.94,51.19,21.66
3-5,2008,Male,1244.23,41.94,21.42,29.79,202.85,456.87,790.3,6.89,1951.55,1661.05,0.786,0.926,60.89,48.94,21.08
6-11,2008,Male,1777.44,63.24,32.29,41.98,287.45,506.9,1072.91,11.32,3498.63,2386.05,1.198,1.2,77.79,48.23,20.59
12-18,2008,Male,2167.63,76.56,38.04,54.74,337.55,506.58,1234.89,13.02,4635.81,2776.62,1.478,1.342,87.25,46.09,21.81
19-29,2008,Male,2340.74,87.92,49.88,60.45,320.88,544.3,1330.11,14.1,5588.19,3134.86,1.675,1.423,98.39,49.89,23.46
30-49,2008,Male,2320.95,84.17,40.63,50.14,346.34,550.06,1350.1,16.47,6248.35,3513.98,1.562,1.384,116.13,43.5,19.57
50-64,2008,Male,2113.08,75.99,30.8,36.94,339.98,559.89,1290.56,16.38,5790.34,3357.75,1.332,1.19,106.53,36.24,15.81
≥ 65,2008,Male,1744.35,58.71,19.58,24.5,306.96,439.24,1061.63,12.72,4554.37,2657.81,1.059,0.88,86.79,27.79,12.47
전체,2009,Male,2181.66,79.07,38.06,47.56,333.02,550.14,1287.98,15.18,5453.78,3165.23,1.466,1.357,105.31,43.49,19.71
1-2,2009,Male,969.84,34.6,19.77,24.69,152.91,477.46,680.08,6.97,1246.25,1411.69,0.696,0.939,58.79,55.32,22.67
3-5,2009,Male,1285.9,45.25,23.74,30.48,208.12,439.61,820.59,7.24,2192.8,1773.01,0.84,1.017,72.96,49.7,20.93
6-11,2009,Male,1805.55,63.61,32.72,43.12,291.28,509.83,1080.09,11.23,3280.15,2390.83,1.232,1.286,88.43,48.75,21.13
12-18,2009,Male,2181.02,76.46,38.15,54.56,343.29,525.81,1244.53,13.44,4546.44,2737.89,1.524,1.422,94.84,46.76,22.03
19-29,2009,Male,2323.38,89.86,49.69,59.96,326.69,565.18,1352.42,15.13,5845.76,3248.88,1.645,1.516,105.34,49.82,23.59
30-49,2009,Male,2426.06,89.15,43.97,53.51,357.38,576.43,1422.69,16.92,6437.39,3603.5,1.632,1.474,118.18,44.91,20.37
