riboflavin (mg),niacin,vitamin B6 (mg),folic acid (milg),food folate (milg),folate (DFE) (milg),Choline (mg),vitamin B12 (milg),age,year,race,vitamin C (mg),vitamin D (milg),vitamin E (mg),added vitamin E (mg),vitamin K,calcium (mg),phosphorus (mg),magnesium (mg),food energy(kcal),protein(g),carbohydrate(g),total sugars(g),dietary fiber(g),total fat(g),saturated fat(g),monosaturated fat(g),polysaturated fat(g),Cholesterol(mg),retinol (milg),vitaminA (milg),alphacarotene (milg),betacarotene (milg),beta-cryptoxanthin (milg),lycopene (milg),lutein+zeaxanthin (milg),thiamin(mg),iron (mg),zinc (mg),copper (mg),selenium (milg),potassium (mg),sodium (mg),caffeine (mg),theobromine (mg)
1.77,24.6,1.92,179,186,490,313,4.55,2 and over,2013-2014,Non-Hispanic Black,81.2,4.1,8.6,0.6,109.9,836,1267,261,2133,77.7,261,120,14.7,82.5,26.0,28.9,19.8,293,370,545,252,1939,72,4173,1424,1.51,14.0,10.2,1.1,112.5,2317,3381,61.6,34.6
1.76,16.4,1.58,197,126,460,238,5.11,2 -5,2013-2014,Non-Hispanic Asian,52.3,8.4,6.0,0.5,52.5,934,1122,199,1528,59.8,203,93,10.4,54.7,20.9,17.5,11.0,206,463,563,255,1059,36,2447,664,1.28,11.6,9.3,0.8,88.9,1965,2286,4.2,64.0
1.93,20.1,1.67,201,174,516,291,5.03,6 - 11,2013-2014,Non-Hispanic Asian,73.0,6.7,6.7,0.7,74.5,1015,1268,247,1874,72.0,258,105,15.3,63.6,21.8,21.3,14.0,227,476,664,560,1912,130,4145,1031,1.57,13.6,11.5,1.2,106.0,2325,3075,6.1,59.9
2.06,26.3,2.15,226,200,585,310,4.52,12 - 19,2013-2014,Non-Hispanic Asian,92.7,5.4,8.9,0.8,116.0,972,1332,294,2040,85.5,263,99,16.6,72.7,22.6,24.8,18.5,261,415,662,662,2603,84,5631,1474,1.77,14.4,10.6,1.2,131.1,2543,3617,30.4,38.9
1.77,24.5,2.05,160,251,523,329,4.02,20 and over,2013-2014,Non-Hispanic Asian,88.1,4.5,8.3,0.6,163.8,729,1228,308,1844,80.9,227,81,18.7,65.7,19.1,23.8,16.7,268,265,609,654,3735,148,3742,2544,1.56,13.4,10.2,1.4,117.7,2574,3645,107.7,25.6
1.81,24.0,2.01,172,234,526,320,4.20,2 and over,2013-2014,Non-Hispanic Asian,85.9,5.0,8.1,0.6,146.9,786,1237,297,1853,79.8,233,85,17.8,65.8,19.8,23.5,16.4,261,306,617,630,3356,135,3917,2230,1.57,13.5,10.3,1.3,117.0,2525,3538,87.1,31.4
1.82,16.4,1.49,179,144,449,231,4.25,2 -5,2013-2014,All Hispanic,88.1,6.4,5.3,0.3,51.3,1074,1158,205,1554,57.3,207,99,12.5,57.4,21.3,18.2,12.4,207,487,568,180,865,86,4339,589,1.33,12.1,8.5,0.8,79.5,2084,2400,6.5,39.2
1.94,21.5,1.85,211,162,520,252,5.05,6 - 11,2013-2014,All Hispanic,80.9,5.3,7.1,0.5,63.4,1016,1302,239,1896,69.0,252,114,15.7,70.4,24.7,23.3,15.4,216,514,611,211,1037,73,4988,736,1.61,14.5,10.0,1.0,94.9,2267,2964,12.3,42.6
1.93,24.9,1.94,215,194,559,295,4.89,12 - 19,2013-2014,All Hispanic,77.6,5.1,7.9,0.6,74.4,1031,1396,257,2092,80.3,265,115,16.6,80.8,26.9,27.5,18.8,271,427,537,249,1172,75,5169,748,1.68,15.2,11.0,1.0,113.2,2357,3494,30.3,56.7
2.14,27.5,2.36,172,249,541,360,4.87,20 and over,2013-2014,All Hispanic,88.6,4.5,8.6,0.5,109.9,1020,1482,318,2204,89.2,267,114,19.7,83.2,26.8,28.6,19.5,327,406,587,374,1942,109,5492,1478,1.64,15.1,11.6,1.2,121.3,2695,3603,121.0,28.2
2.06,25.6,2.17,183,223,534,328,4.85,2 and over,2013-2014,All Hispanic,86.0,4.8,8.1,0.5,95.0,1025,1425,291,2104,83.2,261,113,18.2,79.4,26.1,27.0,18.4,297,428,581,323,1644,98,5301,1219,1.62,14.8,11.1,1.1,114.0,2551,3424,86.6,34.9
1.67,15.6,1.31,167,117,401,199,3.81,2 -5,2015-2016,Non-Hispanic White,61.6,5.8,5.6,0.6,47.8,932,1037,186,1410,51.1,184,88,10.9,54.7,20.0,18.5,11.3,170,448,563,316,1207,49,3577,595,1.17,10.1,7.7,0.7,73.3,1767,2163,5.9,32.0
2.02,20.4,1.59,204,147,495,239,4.41,6 - 11,2015-2016,Non-Hispanic White,56.3,5.5,7.4,0.7,60.5,1063,1290,235,1938,65.8,255,118,14.2,75.6,27.7,25.1,15.9,214,528,662,366,1407,53,4116,802,1.56,14.2,10.0,0.9,96.2,2069,3015,17.6,66.3
2.09,25.1,1.96,225,168,551,270,5.29,12 - 19,2015-2016,Non-Hispanic White,58.3,5.1,8.1,0.8,75.7,1059,1362,263,2069,76.0,260,120,15.0,82.8,29.5,28.0,17.6,240,504,617,223,1229,53,4624,867,1.70,15.5,11.6,1.0,109.6,2243,3389,58.1,68.2
2.27,26.1,2.15,174,221,515,338,5.11,20 and over,2015-2016,Non-Hispanic White,76.3,4.8,9.6,1.2,118.5,985,1404,310,2109,82.0,241,107,17.2,85.8,28.4,30.0,19.7,291,452,657,444,2209,81,5449,1517,1.59,14.1,11.4,1.3,113.6,2686,3514,206.6,35.6
2.21,25.1,2.06,180,206,512,320,5.02,2 and over,2015-2016,Non-Hispanic White,72.7,4.9,9.1,1.1,107.8,995,1377,296,2063,79.1,241,108,16.5,83.5,28.1,29.0,18.9,276,462,650,414,2025,75,5205,1371,1.58,14.0,11.2,1.2,110.3,2566,3410,172.0,40.4
1.68,18.5,1.51,169,131,418,214,3.69,2 -5,2015-2016,Non-Hispanic Black,93.4,5.1,6.6,0.6,71.1,835,1060,208,1651,56.5,225,106,12.4,61.2,20.0,21.1,14.7,183,394,522,237,1381,73,3942,1177,1.30,11.5,8.1,0.8,80.0,2045,2471,6.5,34.8
1.82,22.0,1.67,203,158,504,249,4.07,6 - 11,2015-2016,Non-Hispanic Black,84.7,4.8,7.4,0.4,79.4,890,1199,223,1912,67.9,248,108,14.1,74.0,24.5,25.1,17.7,238,423,546,252,1316,76,3897,952,1.56,14.0,9.7,0.9,99.3,2124,3217,8.5,31.2
1.73,23.2,1.66,228,148,536,238,4.25,12 - 19,2015-2016,Non-Hispanic Black,75.5,3.9,7.5,0.5,85.8,823,1156,219,1981,67.5,256,113,13.0,78.2,26.1,26.9,18.2,234,400,494,123,1057,48,5109,1207,1.57,14.1,10.0,0.9,99.0,1925,3281,17.5,31.3
1.72,24.8,1.98,160,181,453,316,4.32,20 and over,2015-2016,Non-Hispanic Black,81.6,3.9,8.4,0.7,126.6,772,1218,262,2051,77.2,241,107,14.0,81.6,25.5,28.8,19.9,303,339,543,303,2268,74,3884,1750,1.42,12.8,10.0,1.1,111.6,2267,3354,72.5,25.4
1.73,23.9,1.87,174,171,467,293,4.24,2 and over,2015-2016,Non-Hispanic Black,81.9,4.1,8.1,0.7,112.9,794,1197,249,2002,73.6,242,108,13.7,79.0,25.1,27.7,19.1,280,359,535,270,1954,71,4055,1563,1.45,13.0,9.8,1.0,106.6,2193,3272,54.6,27.4
1.85,13.3,1.41,144,139,383,262,4.30,2 -5,2015-2016,Non-Hispanic Asian,63.7,7.8,5.9,0.9,64.9,1002,1085,205,1422,53.9,181,87,10.8,55.3,20.8,19.0,10.5,246,452,570,329,1210,114,1221,981,1.15,10.3,7.6,0.8,79.7,1958,1877,3.1,24.9
1.84,21.4,1.70,229,188,579,296,4.44,6 - 11,2015-2016,Non-Hispanic Asian,66.1,7.0,7.5,0.1,91.8,883,1268,245,1984,74.2,259,92,15.2,73.8,25.6,24.3,17.4,264,429,661,707,2399,71,3128,931,1.65,14.8,10.0,1.1,110.0,2264,3384,7.1,81.3
2.03,25.0,2.00,208,189,542,322,4.92,12 - 19,2015-2016,Non-Hispanic Asian,79.9,5.3,8.1,0.8,94.8,974,1342,270,1991,82.4,255,96,16.2,72.9,24.0,25.4,17.0,282,430,573,331,1517,86,4093,1124,1.68,14.5,11.7,1.1,120.0,2484,3499,24.3,37.0
1.82,24.2,1.99,178,261,564,329,4.11,20 and over,2015-2016,Non-Hispanic Asian,101.0,4.9,8.7,0.6,195.4,809,1282,326,1911,81.8,239,80,19.5,69.1,20.9,25.1,16.8,269,285,670,687,4193,180,4321,3087,1.66,14.3,10.5,1.4,121.3,2663,3850,86.5,25.1
1.84,23.8,1.96,183,246,557,324,4.21,2 and over,2015-2016,Non-Hispanic Asian,95.7,5.2,8.5,0.6,175.2,836,1281,312,1909,80.5,240,83,18.6,69.3,21.4,24.9,16.6,269,313,657,641,3726,162,4134,2699,1.64,14.2,10.5,1.3,119.2,2600,3727,73.0,29.5
1.68,16.0,1.44,159,147,418,234,3.98,2 -5,2015-2016,All Hispanic,84.3,6.1,5.7,0.5,45.1,924,1082,199,1500,54.9,199,94,12.6,56.1,19.8,19.0,12.3,199,418,492,161,766,95,2579,610,1.25,11.7,8.1,0.8,73.6,1993,2220,7.1,25.2
1.85,20.6,1.63,196,155,487,255,4.61,6 - 11,2015-2016,All Hispanic,74.4,5.6,6.5,0.3,53.0,954,1219,224,1795,67.0,229,99,14.4,70.0,24.4,23.8,15.4,237,457,561,265,1073,97,4903,605,1.50,14.0,9.8,0.9,97.6,2048,2920,12.3,40.7
1.86,23.2,1.79,210,179,536,267,4.50,12 - 19,2015-2016,All Hispanic,69.9,4.8,7.5,0.5,67.1,933,1252,238,1969,70.6,252,106,15.6,77.4,26.2,26.0,18.0,253,443,540,227,1032,68,4723,764,1.58,14.6,9.6,0.9,103.0,2135,3306,40.0,37.9
2.10,27.1,2.18,170,237,525,358,4.87,20 and over,2015-2016,All Hispanic,82.5,4.7,8.3,0.6,95.7,991,1452,312,2179,87.1,262,107,19.1,83.7,27.5,29.3,18.8,349,400,556,331,1659,103,5133,1267,1.61,14.5,11.4,1.2,122.6,2624,3593,121.3,27.5
2.01,25.0,2.00,178,212,515,323,4.72,2 and over,2015-2016,All Hispanic,79.7,4.9,7.8,0.6,82.7,973,1367,282,2053,79.9,252,105,17.5,79.2,26.4,27.4,17.8,310,415,549,295,1429,96,4859,1065,1.57,14.3,10.7,1.1,113.2,2436,3372,87.9,30.5
1.60,15.6,1.38,144,126,370,209,3.55,2 -5,2017-2018,Non-Hispanic White,80.0,5.5,5.8,0.5,50.1,1009,1140,212,1565,53.7,208,103,12.2,60.6,21.4,19.8,13.2,172,457,578,280,1271,81,3245,614,1.22,10.0,7.5,0.8,69.0,2012,2187,9.9,40.0
1.81,21.3,1.75,216,140,506,230,4.38,6 - 11,2017-2018,Non-Hispanic White,78.3,4.8,8.6,1.7,66.2,993,1228,228,1906,63.0,250,116,14.3,75.7,26.3,25.1,17.1,207,551,666,228,1202,117,3527,831,1.55,13.7,9.5,0.9,84.7,1993,2831,14.9,63.9
1.93,25.6,1.98,204,156,500,267,4.66,12 - 19,2017-2018,Non-Hispanic White,54.1,4.2,8.4,0.7,81.1,968,1353,252,2064,77.0,256,117,14.2,83.3,28.3,27.2,19.4,244,453,564,184,1201,60,5244,827,1.63,13.7,10.4,1.0,108.1,2184,3368,52.8,51.3
2.23,26.5,2.22,172,209,500,331,5.03,20 and over,2017-2018,Non-Hispanic White,70.7,4.2,9.7,1.2,126.8,993,1409,306,2162,81.7,244,107,16.2,90.6,30.0,30.9,21.0,303,442,670,404,2486,75,4806,1704,1.60,14.2,11.3,1.2,113.4,2639,3526,205.1,46.1
2.15,25.6,2.13,177,195,495,313,4.89,2 and over,2017-2018,Non-Hispanic White,70.1,4.3,9.3,1.1,115.1,991,1380,292,2110,78.8,244,108,15.7,87.6,29.2,29.7,20.2,285,452,656,366,2228,77,4691,1516,1.59,14.0,10.9,1.1,109.0,2525,3406,169.6,47.6
1.26,15.6,1.29,144,105,349,170,3.02,2 -5,2017-2018,Non-Hispanic Black,90.7,3.7,5.7,0.4,57.9,687,885,178,1461,45.1,203,98,10.7,54.5,17.5,18.8,12.8,138,332,448,132,1299,64,3178,763,1.14,9.9,6.3,0.6,61.7,1810,2108,5.5,23.5
1.66,21.6,1.63,212,140,499,225,3.98,6 - 11,2017-2018,Non-Hispanic Black,69.4,4.1,7.4,0.6,89.0,842,1161,211,1917,61.2,253,115,13.2,76.2,25.9,25.4,17.7,221,450,534,87,943,49,3955,970,1.50,13.8,8.6,0.8,95.1,1958,2985,14.8,49.8
1.75,24.0,1.77,201,149,490,249,4.30,12 - 19,2017-2018,Non-Hispanic Black,77.2,3.9,8.0,0.4,85.9,906,1230,225,2060,70.3,257,116,13.0,85.6,28.4,28.4,20.7,258,414,518,157,1139,55,4381,965,1.53,13.6,9.8,0.9,104.5,2080,3344,19.6,32.4
1.73,24.7,1.92,162,185,460,302,4.23,20 and over,2017-2018,Non-Hispanic Black,76.5,3.7,8.7,0.5,128.8,852,1252,262,2113,76.2,245,111,14.1,86.6,27.0,29.8,21.6,305,352,548,244,2193,75,4381,1726,1.47,13.0,9.8,1.1,110.1,2278,3396,74.7,29.4
1.71,23.9,1.85,170,174,462,284,4.16,2 and over,2017-2018,Non-Hispanic Black,76.6,3.8,8.3,0.5,117.3,850,1225,250,2061,72.9,245,111,13.8,84.2,26.7,28.8,20.8,285,367,539,216,1926,70,4293,1531,1.47,13.0,9.6,1.0,106.1,2207,3299,60.2,31.1
1.45,14.9,1.43,188,117,436,202,3.72,2 -5,2017-2018,Non-Hispanic Asian,64.9,5.6,5.3,0.2,48.2,875,1055,205,1455,50.7,198,82,12.4,53.2,18.9,17.3,11.4,157,371,474,144,1127,70,4531,490,1.31,10.2,7.4,0.8,68.5,2004,2044,3.0,29.4
1.74,19.2,1.49,198,171,508,263,4.10,6 - 11,2017-2018,Non-Hispanic Asian,63.8,4.7,6.7,0.2,64.2,901,1293,226,1863,64.3,245,96,16.5,71.7,26.9,22.7,14.8,244,382,487,241,1100,69,5154,753,1.60,13.1,9.0,1.0,93.8,2119,2940,8.9,48.6
1.63,22.6,1.78,194,188,517,289,4.20,12 - 19,2017-2018,Non-Hispanic Asian,78.1,4.6,8.0,0.4,108.8,819,1229,262,1984,74.1,255,96,16.5,75.8,25.7,24.9,17.5,269,389,595,475,2205,71,5050,1707,1.57,13.7,9.7,1.1,115.4,2232,3380,29.7,52.4
1.80,23.9,2.01,161,251,524,323,3.97,20 and over,2017-2018,Non-Hispanic Asian,96.9,4.9,8.3,0.4,152.9,829,1299,320,1943,81.6,242,86,20.4,72.0,22.0,25.5,17.4,277,309,611,552,3270,152,4514,2281,1.62,13.7,10.1,1.4,115.9,2695,3571,94.3,26.5
1.76,23.1,1.93,167,235,519,311,3.99,2 and over,2017-2018,Non-Hispanic Asian,91.8,4.9,8.1,0.4,139.1,835,1282,304,1922,78.5,241,87,19.5,71.6,22.5,24.9,17.0,269,323,596,509,2951,136,4603,2061,1.60,13.5,9.9,1.3,112.6,2588,3451,79.4,30.4
1.64,16.5,1.57,173,132,427,240,4.24,2 -5,2017-2018,All Hispanic,93.3,5.7,5.6,0.5,46.1,964,1104,205,1511,53.9,206,102,12.3,54.7,19.1,17.9,11.9,214,442,528,179,880,129,3858,654,1.34,11.0,8.1,0.7,69.3,2072,2067,8.0,34.9
2.02,21.8,1.80,240,166,573,264,5.15,6 - 11,2017-2018,All Hispanic,83.3,5.6,8.3,1.1,69.2,1109,1336,252,2002,67.7,264,116,16.3,78.0,27.7,25.1,17.2,244,550,652,198,1073,101,5455,864,1.70,15.3,10.2,0.9,97.5,2267,2908,17.0,61.0
1.81,23.4,1.85,208,173,526,262,4.62,12 - 19,2017-2018,All Hispanic,70.1,4.5,7.6,0.8,71.4,970,1266,249,1922,72.5,240,98,15.8,75.6,25.2,24.9,17.8,246,461,559,203,1031,73,3939,786,1.58,14.3,9.8,1.0,101.3,2146,3150,35.9,32.2
2.03,26.4,2.26,171,234,524,357,4.80,20 and over,2017-2018,All Hispanic,91.8,4.3,9.1,1.0,119.0,989,1437,322,2176,85.7,261,107,19.9,84.1,26.8,28.7,20.2,333,388,618,389,2485,152,5776,1648,1.64,14.8,11.5,1.3,120.5,2706,3603,115.8,26.3
1.96,24.8,2.10,184,211,522,325,4.77,2 and over,2017-2018,All Hispanic,87.8,4.6,8.6,0.9,101.4,997,1377,295,2071,79.5,254,106,18.4,80.0,26.1,26.9,18.9,302,420,606,326,2004,133,5328,1365,1.62,14.5,10.8,1.1,111.4,2531,3350,85.7,31.4
