income,age,oil,solid fats,added sugars,alcoholic drinks,year,eggs,nuts and seeds,soybean products,total protein foods,"Total Meat, Poultry, and Seafood",meat,poultry,cured meat,seafood low n-3,seafood high n-3,organ meat,total dairy,fluid milk,cheese,yoghurt,total grains,whole grains,refined grains,total vegetables,total starchy,potatoes,other starchy,total red and orange,tomatoes,other red and orange,dark green,other,total fruit,"citrus, melons, berries",other fruit,fruit juice
"$75,000 and higher",2 and over,27.21,37.05,17.43,0.84,2011_12,0.49,0.97,0.09,1.63,0.39,0.32,0.07,0.44,0.33,0.11,0.19,1.95,0.97,0.84,0.10,6.94,1.09,5.85,1.63,0.39,0.32,0.07,0.44,0.33,0.11,0.19,0.62,1.03,0.19,0.49,0.34
"$0 - $24,999",2 -5,15.69,27.13,11.90,0.00,2013_14,0.42,0.22,0.04*,0.70,0.28,0.23,0.05*,0.22,0.18,0.04,0.05*,1.94,1.23,0.65,0.06*,5.30,0.81,4.49,0.70,0.28,0.23,0.05*,0.22,0.18,0.04,0.05*,0.15,1.20,0.15*,0.50,0.55
"$0 - $24,999",6 - 11,18.69,32.19,16.28,0.00,2013_14,0.26,0.21,0.08*,0.86,0.30,0.23,0.07,0.27,0.21,0.06,0.06,2.17,1.29,0.81,0.05,6.85,0.85,6.00,0.86,0.30,0.23,0.07,0.27,0.21,0.06,0.06,0.24,0.95,0.14,0.44,0.37
"$0 - $24,999",12 - 19,24.51,36.02,21.12,0.03*,2013_14,0.46,0.40,0.05,1.11,0.41,0.34,0.07,0.30,0.25,0.05,0.07,1.73,0.81,0.87,0.04*,7.12,0.57,6.55,1.11,0.41,0.34,0.07,0.30,0.25,0.05,0.07,0.33,0.76,0.17,0.32,0.27
"$0 - $24,999",20 and over,25.60,35.79,20.78,0.70,2013_14,0.54,0.61,0.09,1.30,0.40,0.34,0.06,0.33,0.25,0.09,0.11,1.61,0.70,0.79,0.06,6.46,0.69,5.77,1.30,0.40,0.34,0.06,0.33,0.25,0.09,0.11,0.46,0.80,0.16,0.38,0.27
"$0 - $24,999",2 and over,24.34,35.02,19.94,0.53,2013_14,0.51,0.54,0.08,1.21,0.38,0.32,0.06,0.32,0.24,0.08,0.10,1.69,0.79,0.79,0.06,6.49,0.70,5.80,1.21,0.38,0.32,0.06,0.32,0.24,0.08,0.10,0.41,0.83,0.16,0.38,0.29
"$25,000 - $74,999",2 -5,13.96,24.74,9.72,0.00,2013_14,0.30,0.28,0.01*,0.60,0.20,0.14,0.06,0.20,0.13,0.07,0.05*,1.90,1.32,0.50,0.08*,5.30,0.85,4.46,0.60,0.20,0.14,0.06,0.20,0.13,0.07,0.05*,0.16,1.39,0.17,0.59,0.63
"$25,000 - $74,999",6 - 11,20.14,37.93,17.10,0.00,2013_14,0.36,0.25,0.03,0.92,0.40,0.36,0.05*,0.27,0.21,0.06,0.04,2.16,1.32,0.78,0.06*,6.92,0.67,6.25,0.92,0.40,0.36,0.05*,0.27,0.21,0.06,0.04,0.21,0.85,0.15,0.37,0.33
"$25,000 - $74,999",12 - 19,22.51,34.41,18.83,0.04*,2013_14,0.41,0.49*,0.06,0.99,0.34,0.30,0.04,0.29,0.23,0.06*,0.07*,2.08,1.15,0.88,0.03*,7.00,0.94,6.06,0.99,0.34,0.30,0.04,0.29,0.23,0.06*,0.07*,0.29,0.75,0.12,0.38,0.26
"$25,000 - $74,999",20 and over,26.29,36.56,18.48,0.79,2013_14,0.59,0.75,0.06,1.52,0.45,0.38,0.08,0.38,0.30,0.08,0.16,1.60,0.69,0.83,0.06,6.50,0.83,5.67,1.52,0.45,0.38,0.08,0.38,0.30,0.08,0.16,0.52,0.86,0.20,0.43,0.23
"$25,000 - $74,999",2 and over,24.83,35.88,18.00,0.61,2013_14,0.54,0.66,0.06,1.37,0.42,0.36,0.07,0.35,0.27,0.08,0.14,1.71,0.81,0.81,0.05,6.53,0.83,5.70,1.37,0.42,0.36,0.07,0.35,0.27,0.08,0.14,0.46,0.87,0.19,0.43,0.26
"$75,000 and higher",2 -5,14.87,27.44,11.63,0.00,2013_14,0.27,0.34,0.03*,0.62,0.19,0.14,0.04*,0.21,0.15,0.06,0.05,2.17,1.36,0.64,0.15,5.41,0.99,4.42,0.62,0.19,0.14,0.04*,0.21,0.15,0.06,0.05,0.17*,1.39,0.31,0.64,0.44
"$75,000 and higher",2 -5,14.87,27.44,11.63,0.00,2013_14,0.27,0.34,0.03*,0.62,0.19,0.14,0.04*,0.21,0.15,0.06,0.05,2.17,1.36,0.64,0.15,5.41,0.99,4.42,0.62,0.19,0.14,0.04*,0.21,0.15,0.06,0.05,0.17*,1.32,0.20,0.59,0.54
"$75,000 and higher",6 - 11,19.34,39.62,18.08,0.00,2013_14,0.36,0.45,0.04*,0.79,0.24,0.21,0.03,0.27,0.20,0.07,0.06,2.40,1.32,0.95,0.12,7.44,0.98,6.46,0.79,0.24,0.21,0.03,0.27,0.20,0.07,0.06,0.22,1.39,0.37,0.56,0.45
"$75,000 and higher",6 - 11,19.34,39.62,18.08,0.00,2013_14,0.36,0.45,0.04*,0.79,0.24,0.21,0.03,0.27,0.20,0.07,0.06,2.40,1.32,0.95,0.12,7.44,0.98,6.46,0.79,0.24,0.21,0.03,0.27,0.20,0.07,0.06,0.22,1.06,0.23,0.45,0.37
"$75,000 and higher",12 - 19,24.62,34.70,19.46,0.12*,2013_14,0.30,0.47,0.10,1.16,0.38,0.32,0.05*,0.32,0.23,0.09,0.11*,2.16,1.23,0.83,0.04,7.08,0.89,6.19,1.16,0.38,0.32,0.05*,0.32,0.23,0.09,0.11*,0.36,0.97,0.24,0.41,0.31
"$75,000 and higher",12 - 19,24.62,34.70,19.46,0.12*,2013_14,0.30,0.47,0.10,1.16,0.38,0.32,0.05*,0.32,0.23,0.09,0.11*,2.16,1.23,0.83,0.04,7.08,0.89,6.19,1.16,0.38,0.32,0.05*,0.32,0.23,0.09,0.11*,0.36,0.84,0.19,0.37,0.28
"$75,000 and higher",20 and over,28.99,34.61,14.34,0.87,2013_14,0.54,1.06,0.08,1.65,0.39,0.33,0.06,0.44,0.31,0.12,0.21,1.67,0.72,0.81,0.09,6.77,1.10,5.67,1.65,0.39,0.33,0.06,0.44,0.31,0.12,0.21,0.61,0.99,0.25,0.52,0.22
"$75,000 and higher",20 and over,28.99,34.61,14.34,0.87,2013_14,0.54,1.06,0.08,1.65,0.39,0.33,0.06,0.44,0.31,0.12,0.21,1.67,0.72,0.81,0.09,6.77,1.10,5.67,1.65,0.39,0.33,0.06,0.44,0.31,0.12,0.21,0.61,0.90,0.21,0.45,0.24
"$75,000 and higher",2 and over,27.00,34.72,15.14,0.67,2013_14,0.49,0.90,0.07,1.47,0.37,0.31,0.06,0.40,0.29,0.11,0.18,1.81,0.86,0.82,0.09,6.80,1.06,5.74,1.47,0.37,0.31,0.06,0.40,0.29,0.11,0.18,0.53,1.04,0.26,0.51,0.26
"$75,000 and higher",2 and over,27.00,34.72,15.14,0.67,2013_14,0.49,0.90,0.07,1.47,0.37,0.31,0.06,0.40,0.29,0.11,0.18,1.81,0.86,0.82,0.09,6.80,1.06,5.74,1.47,0.37,0.31,0.06,0.40,0.29,0.11,0.18,0.53,0.93,0.21,0.45,0.27
