income,age,oil,solid fats,added sugars,alcoholic drinks,year,eggs,nuts and seeds,soybean products,total protein foods,"Total Meat, Poultry, and Seafood",meat,poultry,cured meat,seafood low n-3,seafood high n-3,organ meat,total dairy,fluid milk,cheese,yoghurt,total grains,whole grains,refined grains,total vegetables,total starchy,potatoes,other starchy,total red and orange,tomatoes,other red and orange,dark green,other,total fruit,"citrus, melons, berries",other fruit,fruit juice
"$75,000 and higher",2 and over,23.74,42.77,18.13,0.70,2005_06,0.50,0.73,0.08*,1.57,0.44,0.36,0.08,0.41,0.32,0.08,0.14,1.97,1.11,0.77,0.07,6.95,0.78,6.17,1.57,0.44,0.36,0.08,0.41,0.32,0.08,0.14,0.58,1.00,0.17,0.47,0.36
"$75,000 and higher",2 and over,23.74,42.77,18.13,0.70,2005_06,0.50,0.73,0.08*,1.57,0.44,0.36,0.08,0.41,0.32,0.08,0.14,1.97,1.11,0.77,0.07,6.95,0.78,6.17,1.57,0.44,0.36,0.08,0.41,0.32,0.08,0.14,0.58,0.97,0.17,0.41,0.39
"$0 - $24,999",2 -5,15.82,34.00,15.42,0.00,2007_08,0.37,0.23,0.03*,0.75,0.38,0.31,0.06,0.21,0.18,0.03,0.01,2.12,1.57,0.49,0.03*,5.01,0.42,4.59,0.75,0.38,0.31,0.06,0.21,0.18,0.03,0.01,0.15,1.43,0.21*,0.50,0.71
"$0 - $24,999",6 - 11,18.67,39.70,22.55,0.00,2007_08,0.33,0.20,0.02*,0.94,0.45,0.37,0.08,0.31,0.27,0.04*,0.03*,2.08,1.38,0.68,0.01,6.28,0.50,5.78,0.94,0.45,0.37,0.08,0.31,0.27,0.04*,0.03*,0.15,1.12,0.10*,0.45,0.57
"$0 - $24,999",12 - 19,20.48,37.05,22.46,0.23*,2007_08,0.29,0.31,0.04*,1.19,0.42,0.36,0.06,0.35,0.30,0.04*,0.07*,1.64,0.93,0.68,0.02*,6.57,0.41,6.16,1.19,0.42,0.36,0.06,0.35,0.30,0.04*,0.07*,0.36,0.93,0.10,0.46,0.36
"$0 - $24,999",20 and over,19.38,37.62,19.07,0.60,2007_08,0.52,0.44,0.07,1.39,0.43,0.34,0.08,0.35,0.29,0.07,0.10,1.53,0.83,0.64,0.04,6.09,0.57,5.52,1.39,0.43,0.34,0.08,0.35,0.29,0.07,0.10,0.52,0.91,0.16,0.42,0.33
"$0 - $24,999",2 and over,19.26,37.53,19.54,0.48,2007_08,0.47,0.40,0.06,1.30,0.42,0.34,0.08,0.34,0.28,0.06,0.08,1.62,0.93,0.64,0.04,6.10,0.53,5.57,1.30,0.42,0.34,0.08,0.34,0.28,0.06,0.08,0.45,0.95,0.15,0.43,0.37
"$25,000 - $74,999",2 -5,12.09,28.33,12.93,0.00,2007_08,0.36,0.22,0.03*,0.75,0.30,0.23,0.07,0.23,0.16,0.06,0.08*,2.21,1.68,0.47,0.06,4.33,0.44,3.89,0.75,0.30,0.23,0.07,0.23,0.16,0.06,0.08*,0.15,1.37,0.12,0.66,0.58
"$25,000 - $74,999",6 - 11,17.72,41.47,19.70,0.00,2007_08,0.35,0.32*,0.03,0.80,0.37,0.29,0.08,0.23,0.19,0.04,0.02*,2.11,1.25,0.81,0.04,6.52,0.51,6.02,0.80,0.37,0.29,0.08,0.23,0.19,0.04,0.02*,0.17,0.91,0.16*,0.44,0.31
"$25,000 - $74,999",12 - 19,21.00,43.75,23.27,0.11*,2007_08,0.48,0.35*,0.03,1.02,0.42,0.37,0.05,0.30,0.26,0.04,0.05,1.97,1.09,0.85,0.01*,8.13,0.66,7.47,1.02,0.42,0.37,0.05,0.30,0.26,0.04,0.05,0.25,0.78,0.10,0.31,0.36
